doc_id,customer_id,company_name,segment,churn_category,specific_reason,arr,tenure_months,risk_score,feature_adoption,support_tickets_30d,last_engagement_days,is_churned,document
ANALYSIS-0001,CUST-0001,AnalyticsCo LLC,Commercial,Competition,Competitor has better features,92400,39,77,21,4,74,1,"# Churn Risk Analysis: AnalyticsCo LLC

## Executive Summary
AnalyticsCo LLC (CUST-0001) is a Commercial customer in Education with $92,400 ARR and 39 months of tenure. Current risk score: 77%. Status: CHURNED on 2025-03-10.

## Risk Factors
1. **Primary Concern:** Competitor has better features
2. **Feature Adoption:** 21% (below the Commercial benchmark of 70%)
3. **Support Activity:** 4 tickets per 30 days
4. **Engagement:** last interaction 74 days ago

## Detailed Analysis

### Churn Category: Competition
This account shows the classic pattern of competition, specifically: competitor has better features.

### Behavioural Patterns
- Feature adoption plateaued at 21%
- Support volume steady
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, competition typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address competitor has better features directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 21% toward 46%
2. Reduce support load by better documentation
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received improved product based on feedback showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0001*
*Risk Score: 77%*
*Segment: Commercial*"
ANALYSIS-0002,CUST-0006,AuditPro LLC,Commercial,Competition,Better UX elsewhere,55700,37,24,70,3,13,1,"# Churn Risk Analysis: AuditPro LLC

## Executive Summary
AuditPro LLC (CUST-0006) is a Commercial customer in Public Sector with $55,700 ARR and 37 months of tenure. Current risk score: 24%. Status: CHURNED on 2026-05-20.

## Risk Factors
1. **Primary Concern:** Better UX elsewhere
2. **Feature Adoption:** 70% (below the Commercial benchmark of 70%)
3. **Support Activity:** 3 tickets per 30 days
4. **Engagement:** last interaction 13 days ago

## Detailed Analysis

### Churn Category: Competition
This account shows the classic pattern of competition, specifically: better ux elsewhere.

### Behavioural Patterns
- Feature adoption plateaued at 70%
- Support volume steady
- Engagement stable

### Segment-Specific Insight
For Commercial accounts, competition typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address better ux elsewhere directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 70% toward 85%
2. Reduce support load by better documentation
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received improved product based on feedback showed significant improvement in retention metrics.

---
*Customer ID: CUST-0006*
*Risk Score: 24%*
*Segment: Commercial*"
ANALYSIS-0003,CUST-0008,DevTools Inc,Commercial,Support Issues,Unresolved bugs,95700,39,100,0,9,57,1,"# Churn Risk Analysis: DevTools Inc

## Executive Summary
DevTools Inc (CUST-0008) is a Commercial customer in Retail with $95,700 ARR and 39 months of tenure. Current risk score: 100%. Status: CHURNED on 2025-06-08.

## Risk Factors
1. **Primary Concern:** Unresolved bugs
2. **Feature Adoption:** 0% (below the Commercial benchmark of 70%)
3. **Support Activity:** 9 tickets per 30 days
4. **Engagement:** last interaction 57 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: unresolved bugs.

### Behavioural Patterns
- Feature adoption plateaued at 0%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, support issues typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address unresolved bugs directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 0% toward 25%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received assigned dedicated success manager showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0008*
*Risk Score: 100%*
*Segment: Commercial*"
ANALYSIS-0004,CUST-0009,CacheMaster Labs,Commercial,Support Issues,Unresolved bugs,87000,39,55,41,6,55,1,"# Churn Risk Analysis: CacheMaster Labs

## Executive Summary
CacheMaster Labs (CUST-0009) is a Commercial customer in Healthcare with $87,000 ARR and 39 months of tenure. Current risk score: 55%. Status: CHURNED on 2026-05-25.

## Risk Factors
1. **Primary Concern:** Unresolved bugs
2. **Feature Adoption:** 41% (below the Commercial benchmark of 70%)
3. **Support Activity:** 6 tickets per 30 days
4. **Engagement:** last interaction 55 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: unresolved bugs.

### Behavioural Patterns
- Feature adoption plateaued at 41%
- Support volume steady
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, support issues typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address unresolved bugs directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 41% toward 66%
2. Reduce support load by better documentation
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received set up weekly check-ins showed significant improvement in retention metrics.

---
*Customer ID: CUST-0009*
*Risk Score: 55%*
*Segment: Commercial*"
ANALYSIS-0005,CUST-0010,AnalyticsCo Inc,Commercial,Pricing Concerns,ROI not clear,76400,22,100,0,21,69,1,"# Churn Risk Analysis: AnalyticsCo Inc

## Executive Summary
AnalyticsCo Inc (CUST-0010) is a Commercial customer in Healthcare with $76,400 ARR and 22 months of tenure. Current risk score: 100%. Status: CHURNED on 2026-06-09.

## Risk Factors
1. **Primary Concern:** ROI not clear
2. **Feature Adoption:** 0% (below the Commercial benchmark of 70%)
3. **Support Activity:** 21 tickets per 30 days
4. **Engagement:** last interaction 69 days ago

## Detailed Analysis

### Churn Category: Pricing Concerns
This account shows the classic pattern of pricing concerns, specifically: roi not clear.

### Behavioural Patterns
- Feature adoption plateaued at 0%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, pricing concerns typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address roi not clear directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 0% toward 25%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received provided credits for referrals showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0010*
*Risk Score: 100%*
*Segment: Commercial*"
ANALYSIS-0006,CUST-0012,AuditPro Solutions,SMB,Competition,Better UX elsewhere,15600,24,100,0,11,58,1,"# Churn Risk Analysis: AuditPro Solutions

## Executive Summary
AuditPro Solutions (CUST-0012) is a SMB customer in Public Sector with $15,600 ARR and 24 months of tenure. Current risk score: 100%. Status: CHURNED on 2026-03-26.

## Risk Factors
1. **Primary Concern:** Better UX elsewhere
2. **Feature Adoption:** 0% (below the SMB benchmark of 70%)
3. **Support Activity:** 11 tickets per 30 days
4. **Engagement:** last interaction 58 days ago

## Detailed Analysis

### Churn Category: Competition
This account shows the classic pattern of competition, specifically: better ux elsewhere.

### Behavioural Patterns
- Feature adoption plateaued at 0%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For SMB accounts, competition typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address better ux elsewhere directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 0% toward 25%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received matched competitor pricing showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0012*
*Risk Score: 100%*
*Segment: SMB*"
ANALYSIS-0007,CUST-0013,InnovateLabs LLC,SMB,Support Issues,Poor documentation,20500,26,79,19,12,23,1,"# Churn Risk Analysis: InnovateLabs LLC

## Executive Summary
InnovateLabs LLC (CUST-0013) is a SMB customer in Financial Services with $20,500 ARR and 26 months of tenure. Current risk score: 79%. Status: CHURNED on 2026-05-25.

## Risk Factors
1. **Primary Concern:** Poor documentation
2. **Feature Adoption:** 19% (below the SMB benchmark of 70%)
3. **Support Activity:** 12 tickets per 30 days
4. **Engagement:** last interaction 23 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: poor documentation.

### Behavioural Patterns
- Feature adoption plateaued at 19%
- Support volume rising
- Engagement stable

### Segment-Specific Insight
For SMB accounts, support issues typically calls for product education and training.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address poor documentation directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 19% toward 44%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable SMB accounts that received created custom training program showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0013*
*Risk Score: 79%*
*Segment: SMB*"
ANALYSIS-0008,CUST-0015,DataBridge Corp,Commercial,Product Fit,Doesn't scale,135900,29,100,0,11,54,0,"# Churn Risk Analysis: DataBridge Corp

## Executive Summary
DataBridge Corp (CUST-0015) is a Commercial customer in Education with $135,900 ARR and 29 months of tenure. Current risk score: 100%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** Doesn't scale
2. **Feature Adoption:** 0% (below the Commercial benchmark of 70%)
3. **Support Activity:** 11 tickets per 30 days
4. **Engagement:** last interaction 54 days ago

## Detailed Analysis

### Churn Category: Product Fit
This account shows the classic pattern of product fit, specifically: doesn't scale.

### Behavioural Patterns
- Feature adoption plateaued at 0%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, product fit typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address doesn't scale directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 0% toward 25%
2. Reduce support load by proactive monitoring
3. Establish a weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received built custom integration showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0015*
*Risk Score: 100%*
*Segment: Commercial*"
ANALYSIS-0009,CUST-0019,ComplianceHub Group,Commercial,Adoption Challenges,Too hard to onboard,112300,3,68,29,60,68,0,"# Churn Risk Analysis: ComplianceHub Group

## Executive Summary
ComplianceHub Group (CUST-0019) is a Commercial customer in Healthcare with $112,300 ARR and 3 months of tenure. Current risk score: 68%. Status: ACTIVE - at risk.

## Risk Factors
1. **Primary Concern:** Too hard to onboard
2. **Feature Adoption:** 29% (below the Commercial benchmark of 70%)
3. **Support Activity:** 60 tickets per 30 days
4. **Engagement:** last interaction 68 days ago

## Detailed Analysis

### Churn Category: Adoption Challenges
This account shows the classic pattern of adoption challenges, specifically: too hard to onboard.

### Behavioural Patterns
- Feature adoption plateaued at 29%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, adoption challenges typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address too hard to onboard directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 29% toward 54%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received provided implementation support showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0019*
*Risk Score: 68%*
*Segment: Commercial*"
ANALYSIS-0010,CUST-0020,BackupCloud Group,Commercial,Support Issues,Unresolved bugs,111600,22,70,27,12,72,1,"# Churn Risk Analysis: BackupCloud Group

## Executive Summary
BackupCloud Group (CUST-0020) is a Commercial customer in Education with $111,600 ARR and 22 months of tenure. Current risk score: 70%. Status: CHURNED on 2025-11-01.

## Risk Factors
1. **Primary Concern:** Unresolved bugs
2. **Feature Adoption:** 27% (below the Commercial benchmark of 70%)
3. **Support Activity:** 12 tickets per 30 days
4. **Engagement:** last interaction 72 days ago

## Detailed Analysis

### Churn Category: Support Issues
This account shows the classic pattern of support issues, specifically: unresolved bugs.

### Behavioural Patterns
- Feature adoption plateaued at 27%
- Support volume rising
- Engagement declining

### Segment-Specific Insight
For Commercial accounts, support issues typically calls for focused customer success effort.

## Recommended Actions

### Immediate (7 days)
1. Schedule a customer success call
2. Address unresolved bugs directly
3. Prioritise open support tickets

### Short-term (30 days)
1. Lift feature adoption from 27% toward 52%
2. Reduce support load by proactive monitoring
3. Establish a bi-weekly check-in cadence

### Long-term (90 days)
1. Rebuild executive relationships
2. Explore expansion once health recovers

## Historical Context
Comparable Commercial accounts that received improved response sla showed moderate improvement in retention metrics.

---
*Customer ID: CUST-0020*
*Risk Score: 70%*
*Segment: Commercial*"
