customer_id,week_start,active_users,sessions,feature_adoption_rate,engagement_score
CUST-0001,2023-04-17,39,35,0.537,0.613
CUST-0001,2023-04-24,40,64,0.486,0.538
CUST-0001,2023-05-01,51,102,0.543,0.611
CUST-0001,2023-05-08,39,69,0.44,0.483
CUST-0001,2023-05-15,38,88,0.501,0.418
CUST-0001,2023-05-22,47,133,0.413,0.491
CUST-0001,2023-05-29,45,63,0.491,0.455
CUST-0001,2023-06-05,29,60,0.446,0.514
CUST-0001,2023-06-12,37,37,0.41,0.532
CUST-0001,2023-06-19,33,97,0.438,0.536
CUST-0001,2023-06-26,37,57,0.509,0.48
CUST-0001,2023-07-03,40,90,0.431,0.519
CUST-0001,2023-07-10,31,44,0.351,0.54
CUST-0001,2023-07-17,42,66,0.457,0.446
CUST-0001,2023-07-24,32,53,0.491,0.529
CUST-0001,2023-07-31,39,107,0.387,0.444
CUST-0001,2023-08-07,40,45,0.433,0.519
CUST-0001,2023-08-14,30,78,0.482,0.525
CUST-0001,2023-08-21,39,75,0.424,0.545
CUST-0001,2023-08-28,32,56,0.409,0.532
CUST-0001,2023-09-04,41,98,0.383,0.457
CUST-0001,2023-09-11,38,44,0.435,0.537
CUST-0001,2023-09-18,26,45,0.514,0.442
CUST-0001,2023-09-25,36,45,0.362,0.423
CUST-0001,2023-10-02,26,58,0.383,0.284
CUST-0001,2023-10-09,37,57,0.388,0.432
CUST-0001,2023-10-16,36,26,0.346,0.447
CUST-0001,2023-10-23,48,41,0.408,0.574
CUST-0001,2023-10-30,37,80,0.394,0.469
CUST-0001,2023-11-06,23,43,0.373,0.408
CUST-0001,2023-11-13,37,83,0.437,0.368
CUST-0001,2023-11-20,31,57,0.349,0.332
CUST-0001,2023-11-27,32,80,0.523,0.518
CUST-0001,2023-12-04,33,73,0.292,0.509
CUST-0001,2023-12-11,32,37,0.459,0.496
CUST-0001,2023-12-18,25,22,0.35,0.438
CUST-0001,2023-12-25,33,45,0.425,0.456
CUST-0001,2024-01-01,40,72,0.432,0.537
CUST-0001,2024-01-08,36,49,0.399,0.401
CUST-0001,2024-01-15,23,52,0.382,0.317
CUST-0001,2024-01-22,21,45,0.395,0.346
CUST-0001,2024-01-29,41,73,0.488,0.35
CUST-0001,2024-02-05,33,78,0.281,0.368
CUST-0001,2024-02-12,25,29,0.397,0.345
CUST-0001,2024-02-19,40,80,0.43,0.384
CUST-0001,2024-02-26,24,16,0.432,0.483
CUST-0001,2024-03-04,45,39,0.295,0.314
CUST-0001,2024-03-11,36,48,0.21,0.405
CUST-0001,2024-03-18,34,71,0.354,0.519
CUST-0001,2024-03-25,28,33,0.37,0.35
CUST-0001,2024-04-01,28,46,0.388,0.459
CUST-0001,2024-04-08,19,24,0.336,0.363
CUST-0001,2024-04-15,30,47,0.358,0.398
CUST-0001,2024-04-22,28,16,0.289,0.396
CUST-0001,2024-04-29,35,47,0.361,0.353
CUST-0001,2024-05-06,31,58,0.34,0.295
CUST-0001,2024-05-13,26,48,0.363,0.409
CUST-0001,2024-05-20,22,36,0.382,0.416
CUST-0001,2024-05-27,25,27,0.356,0.428
CUST-0001,2024-06-03,38,75,0.345,0.331
CUST-0001,2024-06-10,30,22,0.287,0.303
CUST-0001,2024-06-17,34,36,0.378,0.473
CUST-0001,2024-06-24,27,24,0.355,0.249
CUST-0001,2024-07-01,21,19,0.25,0.428
CUST-0001,2024-07-08,34,27,0.308,0.352
CUST-0001,2024-07-15,23,25,0.284,0.236
CUST-0001,2024-07-22,27,29,0.237,0.269
CUST-0001,2024-07-29,35,21,0.307,0.287
CUST-0001,2024-08-05,22,23,0.296,0.334
CUST-0001,2024-08-12,19,24,0.326,0.364
CUST-0001,2024-08-19,27,35,0.345,0.352
CUST-0001,2024-08-26,25,44,0.327,0.316
CUST-0001,2024-09-02,22,34,0.274,0.372
CUST-0001,2024-09-09,27,36,0.242,0.404
CUST-0001,2024-09-16,26,45,0.277,0.275
CUST-0001,2024-09-23,23,20,0.31,0.318
CUST-0001,2024-09-30,18,15,0.234,0.215
CUST-0001,2024-10-07,29,22,0.161,0.23
CUST-0001,2024-10-14,29,15,0.386,0.301
CUST-0001,2024-10-21,15,10,0.233,0.348
CUST-0001,2024-10-28,30,26,0.269,0.323
CUST-0001,2024-11-04,21,16,0.172,0.292
CUST-0001,2024-11-11,29,16,0.321,0.215
CUST-0001,2024-11-18,18,17,0.295,0.212
CUST-0001,2024-11-25,30,31,0.25,0.232
CUST-0001,2024-12-02,21,30,0.236,0.262
CUST-0001,2024-12-09,23,28,0.276,0.289
CUST-0001,2024-12-16,28,11,0.309,0.143
CUST-0001,2024-12-23,26,38,0.239,0.272
CUST-0001,2024-12-30,35,15,0.297,0.279
CUST-0001,2025-01-06,18,12,0.164,0.291
CUST-0001,2025-01-13,17,22,0.274,0.221
CUST-0001,2025-01-20,19,12,0.222,0.226
CUST-0001,2025-01-27,19,15,0.215,0.233
CUST-0001,2025-02-03,20,9,0.158,0.334
CUST-0001,2025-02-10,20,13,0.179,0.193
CUST-0001,2025-02-17,19,26,0.142,0.263
CUST-0001,2025-02-24,18,20,0.306,0.296
CUST-0001,2025-03-03,27,10,0.191,0.133
CUST-0002,2024-07-02,62,249,0.731,0.982
CUST-0002,2024-07-09,64,268,0.804,0.925
CUST-0002,2024-07-16,68,351,0.79,0.814
CUST-0002,2024-07-23,67,161,0.865,0.739
CUST-0002,2024-07-30,65,301,0.839,0.868
CUST-0002,2024-08-06,55,197,0.86,0.766
CUST-0002,2024-08-13,64,183,0.735,0.902
CUST-0002,2024-08-20,63,155,0.797,0.859
CUST-0002,2024-08-27,54,155,0.876,0.852
CUST-0002,2024-09-03,60,303,0.771,0.906
CUST-0002,2024-09-10,72,126,0.867,0.894
CUST-0002,2024-09-17,64,175,0.845,0.934
CUST-0002,2024-09-24,58,183,0.82,0.911
CUST-0002,2024-10-01,67,276,0.796,0.9
CUST-0002,2024-10-08,63,298,0.787,0.838
CUST-0002,2024-10-15,71,108,0.879,0.943
CUST-0002,2024-10-22,74,149,0.789,0.876
CUST-0002,2024-10-29,58,99,0.789,1.0
CUST-0002,2024-11-05,72,131,0.89,0.864
CUST-0002,2024-11-12,66,194,0.853,0.988
CUST-0002,2024-11-19,53,88,0.775,0.932
CUST-0002,2024-11-26,74,158,0.765,0.779
CUST-0002,2024-12-03,57,97,0.768,0.988
CUST-0002,2024-12-10,74,114,0.75,0.958
CUST-0002,2024-12-17,63,268,0.873,0.997
CUST-0002,2024-12-24,61,306,0.827,0.839
CUST-0002,2024-12-31,72,140,0.819,0.924
CUST-0002,2025-01-07,62,305,0.783,0.838
CUST-0002,2025-01-14,67,194,0.808,0.845
CUST-0002,2025-01-21,68,366,0.865,0.827
CUST-0002,2025-01-28,66,192,0.822,0.86
CUST-0002,2025-02-04,68,248,0.777,0.889
CUST-0002,2025-02-11,71,104,0.816,0.852
CUST-0002,2025-02-18,68,317,0.828,0.895
CUST-0002,2025-02-25,68,255,0.79,0.863
CUST-0002,2025-03-04,67,237,0.866,0.913
CUST-0002,2025-03-11,58,260,0.859,0.955
CUST-0002,2025-03-18,73,380,0.818,0.986
CUST-0002,2025-03-25,67,156,0.871,0.907
CUST-0002,2025-04-01,62,264,0.916,0.874
CUST-0002,2025-04-08,73,142,0.804,0.978
CUST-0002,2025-04-15,73,263,0.813,1.0
CUST-0002,2025-04-22,69,110,0.851,0.77
CUST-0002,2025-04-29,62,242,0.839,0.909
CUST-0002,2025-05-06,63,133,0.862,0.927
CUST-0002,2025-05-13,71,305,0.752,0.96
CUST-0002,2025-05-20,70,249,0.864,0.935
CUST-0002,2025-05-27,65,248,0.864,0.908
CUST-0002,2025-06-03,72,392,0.828,0.84
CUST-0002,2025-06-10,64,173,0.798,0.919
CUST-0002,2025-06-17,61,311,0.836,0.874
CUST-0002,2025-06-24,63,187,0.823,0.885
CUST-0002,2025-07-01,63,134,0.851,0.834
CUST-0002,2025-07-08,58,268,0.857,1.0
CUST-0002,2025-07-15,67,182,0.828,0.88
CUST-0002,2025-07-22,67,233,0.794,0.962
CUST-0002,2025-07-29,71,202,0.849,0.912
CUST-0002,2025-08-05,74,312,0.925,0.899
CUST-0002,2025-08-12,63,91,0.855,0.91
CUST-0002,2025-08-19,63,279,0.937,0.96
CUST-0002,2025-08-26,71,225,0.915,1.0
CUST-0002,2025-09-02,73,218,0.909,0.971
CUST-0002,2025-09-09,60,231,0.907,0.903
CUST-0002,2025-09-16,59,91,0.831,0.944
CUST-0002,2025-09-23,70,130,0.906,0.975
CUST-0002,2025-09-30,71,384,0.956,0.876
CUST-0002,2025-10-07,69,386,0.915,0.965
CUST-0002,2025-10-14,62,248,0.822,1.0
CUST-0002,2025-10-21,70,198,0.857,0.984
CUST-0002,2025-10-28,57,212,0.865,1.0
CUST-0002,2025-11-04,66,121,0.851,0.904
CUST-0002,2025-11-11,68,98,0.914,0.892
CUST-0002,2025-11-18,74,303,0.955,0.953
CUST-0002,2025-11-25,72,404,0.88,0.926
CUST-0002,2025-12-02,71,340,0.854,1.0
CUST-0002,2025-12-09,69,213,0.898,0.83
CUST-0002,2025-12-16,74,165,0.846,1.0
CUST-0002,2025-12-23,69,266,0.896,1.0
CUST-0002,2025-12-30,74,137,0.927,1.0
CUST-0002,2026-01-06,62,150,0.804,0.906
CUST-0002,2026-01-13,73,270,0.93,1.0
CUST-0002,2026-01-20,74,182,0.869,1.0
CUST-0002,2026-01-27,74,380,0.871,0.933
CUST-0002,2026-02-03,63,359,0.902,1.0
CUST-0002,2026-02-10,74,251,0.962,0.958
CUST-0002,2026-02-17,72,117,0.88,1.0
CUST-0002,2026-02-24,74,172,0.958,1.0
CUST-0002,2026-03-03,67,309,0.866,0.984
CUST-0002,2026-03-10,69,268,0.9,0.941
CUST-0002,2026-03-17,58,87,0.862,0.86
CUST-0002,2026-03-24,64,312,0.875,0.956
CUST-0002,2026-03-31,64,364,0.914,1.0
CUST-0002,2026-04-07,73,356,0.916,0.943
CUST-0002,2026-04-14,74,194,0.8,1.0
CUST-0002,2026-04-21,65,230,0.862,0.893
CUST-0002,2026-04-28,65,210,0.945,1.0
CUST-0002,2026-05-05,74,334,0.82,0.918
CUST-0002,2026-05-12,71,210,0.92,1.0
CUST-0002,2026-05-19,67,348,0.915,1.0
CUST-0002,2026-05-26,74,207,0.845,1.0
CUST-0002,2026-06-02,62,179,0.902,0.977
CUST-0002,2026-06-09,74,409,0.839,0.975
CUST-0002,2026-06-16,74,279,0.86,1.0
CUST-0002,2026-06-23,73,338,0.921,0.973
CUST-0003,2024-07-02,27,90,0.728,0.847
CUST-0003,2024-07-09,26,40,0.794,0.844
CUST-0003,2024-07-16,25,69,0.831,0.858
CUST-0003,2024-07-23,23,116,0.869,0.913
CUST-0003,2024-07-30,24,80,0.816,0.917
CUST-0003,2024-08-06,23,63,0.881,0.768
CUST-0003,2024-08-13,25,120,0.867,0.933
CUST-0003,2024-08-20,29,135,0.862,0.941
CUST-0003,2024-08-27,28,66,0.871,0.974
CUST-0003,2024-09-03,22,121,0.941,0.97
CUST-0003,2024-09-10,25,50,0.856,0.946
CUST-0003,2024-09-17,28,155,0.967,1.0
CUST-0003,2024-09-24,24,63,0.877,1.0
CUST-0003,2024-10-01,26,72,0.844,1.0
CUST-0003,2024-10-08,28,114,0.842,1.0
CUST-0003,2024-10-15,29,116,0.928,1.0
CUST-0003,2024-10-22,27,123,0.886,0.976
CUST-0003,2024-10-29,28,76,0.925,0.946
CUST-0003,2024-11-05,24,106,0.851,1.0
CUST-0003,2024-11-12,29,155,0.976,1.0
CUST-0003,2024-11-19,26,76,0.939,1.0
CUST-0003,2024-11-26,27,150,0.929,1.0
CUST-0003,2024-12-03,29,119,0.853,1.0
CUST-0003,2024-12-10,26,119,0.917,1.0
CUST-0003,2024-12-17,26,149,0.883,1.0
CUST-0003,2024-12-24,29,116,0.953,0.968
CUST-0003,2024-12-31,29,140,0.905,1.0
CUST-0003,2025-01-07,29,160,0.857,0.988
CUST-0003,2025-01-14,27,67,0.9,0.924
CUST-0003,2025-01-21,29,119,0.882,1.0
CUST-0003,2025-01-28,29,50,0.896,0.962
CUST-0003,2025-02-04,27,64,0.871,0.947
CUST-0003,2025-02-11,29,112,0.975,0.953
CUST-0003,2025-02-18,29,88,0.973,0.896
CUST-0003,2025-02-25,28,166,1.0,1.0
CUST-0003,2025-03-04,29,86,0.998,1.0
CUST-0003,2025-03-11,28,49,0.963,1.0
CUST-0003,2025-03-18,29,64,0.93,0.961
CUST-0003,2025-03-25,25,52,0.939,0.922
CUST-0003,2025-04-01,26,39,0.941,0.942
CUST-0003,2025-04-08,28,161,0.841,1.0
CUST-0003,2025-04-15,28,42,0.867,1.0
CUST-0003,2025-04-22,27,147,0.916,0.998
CUST-0003,2025-04-29,27,48,0.942,0.989
CUST-0003,2025-05-06,29,102,1.0,0.999
CUST-0003,2025-05-13,25,52,0.912,0.927
CUST-0003,2025-05-20,28,136,0.978,1.0
CUST-0003,2025-05-27,29,72,1.0,1.0
CUST-0003,2025-06-03,28,44,0.954,0.989
CUST-0003,2025-06-10,28,89,0.919,0.969
CUST-0003,2025-06-17,25,107,0.865,0.897
