ticket_id,customer_id,company_name,segment,category,issue_type,severity,created_date,resolved_date,resolution_hours,description,resolution_notes,csat_score
TICKET-00001,CUST-0001,AnalyticsCo LLC,Commercial,Training,Setup help,High,2023-12-16,2023-12-16,20,AnalyticsCo LLC (Commercial) reported: Setup help. Severity: High. Impacting business operations.,Resolved by providing fix. Customer satisfaction: 3/5.,3
TICKET-00002,CUST-0001,AnalyticsCo LLC,Commercial,Technical,API error,Low,2025-02-08,2025-02-09,35,AnalyticsCo LLC (Commercial) reported: API error. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 1/5.,1
TICKET-00003,CUST-0001,AnalyticsCo LLC,Commercial,Technical,Integration issue,Medium,2023-11-16,2023-11-18,55,AnalyticsCo LLC (Commercial) reported: Integration issue. Severity: Medium.,Resolved by providing workaround. Customer satisfaction: 2/5.,2
TICKET-00004,CUST-0001,AnalyticsCo LLC,Commercial,Billing,Invoice question,Medium,2023-05-20,2023-05-22,66,AnalyticsCo LLC (Commercial) reported: Invoice question. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
TICKET-00005,CUST-0001,AnalyticsCo LLC,Commercial,Feature,Feature request,High,2023-12-07,2023-12-07,8,AnalyticsCo LLC (Commercial) reported: Feature request. Severity: High. Impacting business operations.,Resolved by providing configuration change. Customer satisfaction: 3/5.,3
TICKET-00006,CUST-0001,AnalyticsCo LLC,Commercial,Technical,Performance slow,High,2024-11-22,2024-11-22,18,AnalyticsCo LLC (Commercial) reported: Performance slow. Severity: High. Impacting business operations.,Resolved by providing workaround. Customer satisfaction: 1/5.,1
TICKET-00007,CUST-0002,DataBridge Solutions,Commercial,Technical,Data sync problem,Low,2024-05-22,2024-05-27,137,DataBridge Solutions (Commercial) reported: Data sync problem. Severity: Low.,Resolved by providing workaround. Customer satisfaction: 5/5.,5
TICKET-00008,CUST-0003,DataSync Solutions,SMB,Feature,Missing functionality,Low,2025-10-03,2025-10-04,27,DataSync Solutions (SMB) reported: Missing functionality. Severity: Low.,Resolved by providing documentation. Customer satisfaction: 5/5.,5
TICKET-00009,CUST-0004,ScaleSystems LLC,Enterprise,Training,Documentation request,High,2026-06-02,2026-06-03,36,ScaleSystems LLC (Enterprise) reported: Documentation request. Severity: High. Impacting business operations.,Resolved by providing feature update. Customer satisfaction: 4/5.,4
TICKET-00010,CUST-0004,ScaleSystems LLC,Enterprise,Technical,Integration issue,Medium,2026-06-26,2026-06-27,42,ScaleSystems LLC (Enterprise) reported: Integration issue. Severity: Medium.,Resolved by providing configuration change. Customer satisfaction: 2/5.,2
